tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
2021-02-09,DKI1 (Bunderan HI),0.21176470588235297,0.12987012987012989,0.30158730158730157,0.47619047619047616,0.12000000000000002,0.5294117647058824,40,PM25,BAIK
2021-02-10,DKI1 (Bunderan HI),0.2,0.1168831168831169,0.2857142857142857,0.38095238095238093,0.07999999999999999,0.3529411764705882,38,PM25,BAIK
2021-02-11,DKI1 (Bunderan HI),0.1294117647058824,0.1103896103896104,0.31746031746031744,0.5238095238095238,0.01999999999999999,0.38235294117647056,37,PM25,BAIK
2021-02-12,DKI1 (Bunderan HI),0.3058823529411765,0.20779220779220778,0.36507936507936506,0.6666666666666666,0.04000000000000001,0.3529411764705882,52,PM25,SEDANG
2021-02-13,DKI1 (Bunderan HI),0.11764705882352944,0.1103896103896104,0.2698412698412698,0.3333333333333333,0.22,0.3529411764705882,37,PM25,BAIK
2021-02-14,DKI1 (Bunderan HI),0.21176470588235297,0.17532467532467536,0.23809523809523808,0.4285714285714285,0.22,0.4411764705882353,47,PM25,BAIK
2021-02-15,DKI1 (Bunderan HI),0.22352941176470592,0.17532467532467536,0.2698412698412698,0.5238095238095238,0.18000000000000002,0.6176470588235293,47,PM25,BAIK
2021-02-16,DKI1 (Bunderan HI),0.1294117647058824,0.05194805194805194,0.23809523809523808,0.4285714285714285,0.19999999999999998,0.6470588235294117,28,PM25,BAIK
2021-02-17,DKI1 (Bunderan HI),0.2823529411764706,0.24025974025974026,0.31746031746031744,0.9999999999999999,0.07999999999999999,0.8529411764705882,57,PM25,SEDANG
2021-02-18,DKI1 (Bunderan HI),0.32941176470588235,0.2532467532467533,0.4126984126984127,0.5238095238095238,0.07999999999999999,0.7352941176470588,59,PM25,SEDANG
2021-02-19,DKI1 (Bunderan HI),0.1647058823529412,0.13636363636363638,0.25396825396825395,0.8571428571428571,0.07999999999999999,0.5588235294117647,41,PM25,BAIK
2021-02-20,DKI1 (Bunderan HI),0.1764705882352941,0.1168831168831169,0.23809523809523808,0.4285714285714285,0.19999999999999998,0.47058823529411764,38,PM25,BAIK
2021-02-21,DKI1 (Bunderan HI),0.18823529411764706,0.16233766233766236,0.23809523809523808,0.38095238095238093,0.16,0.38235294117647056,45,PM25,BAIK
2021-02-22,DKI1 (Bunderan HI),0.4235294117647059,0.30519480519480524,0.2698412698412698,0.7619047619047619,0.06,0.5588235294117647,67,PM25,SEDANG
2021-02-23,DKI1 (Bunderan HI),0.411764705882353,0.2857142857142857,0.30158730158730157,0.4285714285714285,0.24000000000000002,0.5588235294117647,64,PM25,SEDANG
2021-02-24,DKI1 (Bunderan HI),0.1764705882352941,0.14285714285714288,0.30158730158730157,0.38095238095238093,0.01999999999999999,0.3529411764705882,42,PM25,BAIK
2021-02-25,DKI1 (Bunderan HI),0.18823529411764706,0.1818181818181818,0.36507936507936506,0.47619047619047616,0.12000000000000002,0.38235294117647056,48,PM25,BAIK
2021-02-26,DKI1 (Bunderan HI),0.1647058823529412,0.1168831168831169,0.23809523809523808,0.5238095238095238,0.19999999999999998,0.47058823529411764,38,PM25,BAIK
2021-02-02,DKI2 (Kelapa Gading),0.1764705882352941,0.14285714285714288,0.5555555555555556,0.09523809523809523,0.9400000000000001,0.32352941176470584,55,O3,SEDANG
2021-02-03,DKI2 (Kelapa Gading),0.10588235294117648,0.09740259740259741,0.5555555555555556,0.09523809523809523,0.6799999999999999,0.32352941176470584,42,O3,BAIK
2021-02-04,DKI2 (Kelapa Gading),0.21176470588235297,0.1948051948051948,0.5714285714285714,0.23809523809523808,0.78,0.32352941176470584,50,PM25,BAIK
2021-02-05,DKI2 (Kelapa Gading),0.11764705882352944,0.09740259740259741,0.5714285714285714,0.14285714285714285,0.74,0.2647058823529411,45,O3,BAIK
2021-02-06,DKI2 (Kelapa Gading),0.1764705882352941,0.1168831168831169,0.5396825396825395,0.4285714285714285,0.9800000000000001,0.14705882352941177,57,O3,SEDANG
2021-02-07,DKI2 (Kelapa Gading),0.15294117647058825,0.06493506493506493,0.5396825396825395,0.4285714285714285,0.9800000000000001,0.02941176470588236,57,O3,SEDANG
2021-02-08,DKI2 (Kelapa Gading),0.1294117647058824,0.07142857142857142,0.5396825396825395,0.4285714285714285,0.92,0.2352941176470588,54,O3,SEDANG
2021-02-09,DKI2 (Kelapa Gading),0.21176470588235297,0.1948051948051948,0.5714285714285714,0.19047619047619047,0.78,0.3529411764705882,50,PM25,BAIK
2021-02-10,DKI2 (Kelapa Gading),0.22352941176470592,0.16883116883116886,0.5714285714285714,0.09523809523809523,0.82,0.17647058823529413,49,O3,BAIK
2021-02-11,DKI2 (Kelapa Gading),0.21176470588235297,0.1883116883116883,0.6349206349206349,0.19047619047619047,0.54,0.2058823529411765,49,PM25,BAIK
2021-02-12,DKI2 (Kelapa Gading),0.32941176470588235,0.2727272727272727,0.6349206349206349,0.5714285714285714,0.5,0.2058823529411765,62,PM25,SEDANG
2021-02-13,DKI2 (Kelapa Gading),0.1411764705882353,0.17532467532467536,0.5555555555555556,0.2857142857142857,0.64,0.2058823529411765,47,PM25,BAIK
2021-02-16,DKI2 (Kelapa Gading),0.15294117647058825,0.13636363636363638,0.5555555555555556,0.4285714285714285,0.6799999999999999,0.32352941176470584,42,O3,BAIK
2021-02-20,DKI2 (Kelapa Gading),0.18823529411764706,0.09090909090909091,0.5555555555555556,0.2857142857142857,0.9,0.14705882352941177,53,O3,SEDANG
2021-02-21,DKI2 (Kelapa Gading),0.24705882352941178,0.12987012987012989,0.5714285714285714,0.3333333333333333,0.7999999999999999,0.14705882352941177,48,O3,BAIK
2021-02-22,DKI2 (Kelapa Gading),0.5294117647058822,0.31818181818181823,0.6190476190476191,0.619047619047619,0.66,0.4411764705882353,69,PM25,SEDANG
2021-02-23,DKI2 (Kelapa Gading),0.38823529411764707,0.26623376623376627,0.5873015873015872,0.3333333333333333,0.92,0.38235294117647056,61,PM25,SEDANG
